datetime,url,message
2020-06-13 15:32:00,https://jobdetails.nestle.com/job/Ilupeju-DMS-Data-Analyst-9999/605116401/?feedId=256801&utm_source=NestleCareers," Graduate Data Analyst Recruitment at Nestle Nigeria Plc   • Minimum of a Bachelor’s degree or its equivalent in Computer Science, Computer Engineering, Mathematics/Industrial Mathematics, Statistics, Data Science, Informatics or Economics.  • Advanced level in the use of Microsoft Excel.  • A high level of mathematical ability, analytical mind and inclination for problem-solving.  • 1 – 2 years experience in Sales within a similar FMCG company and must have handled DMS version 5 upgrade to at least version 8.0 related projects.  Apply here: https://jobdetails.nestle.com/job/Ilupeju-DMS-Data-Analyst-9999/605116401/?feedId=256801&utm_source=NestleCareers"
2020-06-26 10:15:00,https://www.linkedin.com/posts/openiyi-tosin_microsoftpowerbi-excel-dataanalytics-activity-6682204713913487360-E5fI, Open Analytics Project: Nigeria Telecoms Industry Q3 2017-Q4 2019 👨🏿‍💻  https://www.linkedin.com/posts/openiyi-tosin_microsoftpowerbi-excel-dataanalytics-activity-6682204713913487360-E5fI
2020-06-30 21:01:00,https://www.udemy.com/course/analyzing-and-visualizing-data-with-excel/, https://www.udemy.com/course/analyzing-and-visualizing-data-with-excel/
2020-07-03 11:46:00,https://lnkd.in/di3hqdY," NYSC Interns & Experienced Hires at eHealth4everyone Abuja, Lagos  We are recruiting to fill the following positions below:  Android Application Developer Backend Developer Business Developer Data Analyst (Excel) Data Analyst (PowerBI) Frontend vue.js Developer IT Support Intern Java (Spring) Developer Python Web (Django) Developer React Native Developer Software Project Management Assistant Software Tester WordPress Developer Requirement:  - A detailed CV that contains links to previous/current projects, Social media & Github accounts and current communities of your membership. Applicants without these may not be considered.  https://lnkd.in/di3hqdY"
2020-07-18 18:50:00,https://freshersjobexpress.in/excel-2019-the-ultimate-guide-to-excel-vlookup-100-off-udemy-coupons/, Excel 2019: The Ultimate Guide to Excel VLOOKUP 100% off udemy coupons  #EXCEL #Microsoft #Office_Productivity #Udemy #Vlookup  https://freshersjobexpress.in/excel-2019-the-ultimate-guide-to-excel-vlookup-100-off-udemy-coupons/
2020-07-22 11:00:00,https://www.linkedin.com/posts/tomiwa-adedokun-excellence_certificate-of-completion-activity-6691627281665822720-KpWl, Just finished my Udacity Nanodegree  Kindly check my post: https://www.linkedin.com/posts/tomiwa-adedokun-excellence_certificate-of-completion-activity-6691627281665822720-KpWl  Thanks
2020-07-24 19:01:00,https://bit.ly/32QZVXF," WE’RE HIRING: DATA ANALYST ■Are you Experienced in data analysis and reporting? ■Ability to analyse large datasets? ■Ability to write comprehensive reports? ■Strong verbal and written communication skills? ■An analytical mind and inclination for problem-solving?  ■Client Companies: Brand Communications | Diagnostics Centre | FinTech  ■Role: Data Analyst  ■Work Location: Mainland, Lagos.  ■Job Type: Full-Time  JOB OBJECTIVE: As Data Analyst, You will interpret data and turn it into information which can offer ways to improve a business, thus affecting business decisions. Data Analysts gather information from various sources and interpret patterns and trends  DATA ANALYST DUTIES AND RESPONSIBILITIES  ■Collecting and interpreting data ■Analyzing results ■Reporting the results back to the relevant members of the business ■Identifying patterns and trends in data sets ■Working alongside teams within the business or the management team to establish business needs ■Defining new data collection and analysis processes.  DATA ANALYST JOB QUALIFICATIONS AND REQUIREMENTS ■A degree in the following subjects is beneficial in developing a career in data analysis: Mathematics. Computer Science. Statistics. Economics  QUALIFICATIONS ■Excellent oral and written communication skills ■Interpersonal skills ■Ability to take initiative and work independently ■2+ years of experience ■Tech Savvy  How to Apply Interested and qualified candidates should CLICK the link below to apply:  https://bit.ly/32QZVXF  ■Only qualified candidates should apply. ■Please feel free to share. You might be helping someone get a Good Job. www.rekrutconsulting.com Rekrut Consulting Limited (RC.1088540) Since 2012. The Human Capital Development Company ■ IN-PLANT TRAINING/OPEN COURSES (Virtual & Classroom) ■ EXECUTIVE SEARCH/RECRUITMENT  ■ CONSULTING"
2020-08-09 18:01:00,https://datascience.click-onkaduna.ng/," The Data Science Fellowship Programme is part of the Kaduna State’s Data Revolution Plan aimed at strengthening the coordination in the collection and use of data for evidence based decision making.  The Data Science Fellowship Programme is part of the Kaduna State’s Data Revolution Plan aimed at strengthening the coordination in the collection and use of data for evidence based decision making. The Data Lab Project is jointly implemented by the Kaduna State Government, Bill and Melinda Gates Foundation and Natview Foundation for Technology Innovation. It is a 5-year project aimed at supporting the State in implementing the Data Revolution Plan, with a core objective of developing human capital around data science and the use of data for decision making.  WORTH  Participants of the programme will benefit from the following:  A chance to upgrade your skills and develop a career in the most sought after industry in the world.An opportunity to work with a team of public policy experts, Data Analysts to contribute to development planning, public policy, and use of data for evidence based decision making in the Health Sector.6 months fully paid internship programme with industry leaders and stakeholders within the health sector.Model data using Artificial Intelligence and Machine Learning tools within the Amina J. Mohammed SDGs Data Lab.Build a sustainable network within the Data Science Ecosystem.  ELIGIBILITY  Age: 18yrs – 35yrs except for exceptional casesLocation: The State of residence must be in KadunaAcademic Qualifications: Graduate of Tertiary Institutions in any of the STEMS courses particularly: Statistics, Mathematics, Computer Science, Engineering, Economics, Physical Sciences, and any other health related discipline. Undergraduates within the STEM fields identified who are doing their 6months to 1 year Internships are also encouraged to apply.Competency Level: We are looking for people with the following skills:Basic Computer KnowledgeBasic Knowledge around using Data & Understanding of Microsoft ExcelProblem Solving SkillsCommunication Skills(Written and Verbal English)Gender: 50% gender balancing and distribution will be considered during selection process.  DEADLINE: August 31st 2020  https://datascience.click-onkaduna.ng/    *AJAP-NIG*   *YouthOpportunities*"
2020-08-18 11:40:00,https://stackoverflow.com/questions/26474693/excelfile-vs-read-excel-in-pandas/38560203, You people are here 👇🏿 https://stackoverflow.com/questions/26474693/excelfile-vs-read-excel-in-pandas/38560203#38560203
2020-10-01 22:54:00,https://lnkd.in/geVnRUm, Hey #Data #Analytics community - here are 13 FREE Udemy courses worth $2000! 🤑 These all expire 1st October so be SUPER QUICK! ⚡️ Please help me share this post so more people can see these free courses! 🤗 #DataWithDanny  Python Courses:  Financial ML https://lnkd.in/geVnRUm  Linear Regression https://lnkd.in/gPuB-jU  Bootcamp https://lnkd.in/gtJrSSs  ML & Deep Learning https://lnkd.in/g5_2ADt  Computer Vision https://lnkd.in/gVQGPCK  Decision Trees https://lnkd.in/g4viYPB  Flask https://lnkd.in/grJuBZG  SQL Masterclass https://lnkd.in/gM3jReb  Excel Marketing Analytics https://lnkd.in/gdchAhV  R HR Analytics https://lnkd.in/g4cFVkh  Retail Marketing Analytics https://lnkd.in/geFbz64  Analytics in R https://lnkd.in/gGWqG9R  Excel Beginner to Advanced https://lnkd.in/gS9Sq4Y
2020-10-01 22:54:00,https://lnkd.in/gPuB-jU, Hey #Data #Analytics community - here are 13 FREE Udemy courses worth $2000! 🤑 These all expire 1st October so be SUPER QUICK! ⚡️ Please help me share this post so more people can see these free courses! 🤗 #DataWithDanny  Python Courses:  Financial ML https://lnkd.in/geVnRUm  Linear Regression https://lnkd.in/gPuB-jU  Bootcamp https://lnkd.in/gtJrSSs  ML & Deep Learning https://lnkd.in/g5_2ADt  Computer Vision https://lnkd.in/gVQGPCK  Decision Trees https://lnkd.in/g4viYPB  Flask https://lnkd.in/grJuBZG  SQL Masterclass https://lnkd.in/gM3jReb  Excel Marketing Analytics https://lnkd.in/gdchAhV  R HR Analytics https://lnkd.in/g4cFVkh  Retail Marketing Analytics https://lnkd.in/geFbz64  Analytics in R https://lnkd.in/gGWqG9R  Excel Beginner to Advanced https://lnkd.in/gS9Sq4Y
2020-10-01 22:54:00,https://lnkd.in/gtJrSSs, Hey #Data #Analytics community - here are 13 FREE Udemy courses worth $2000! 🤑 These all expire 1st October so be SUPER QUICK! ⚡️ Please help me share this post so more people can see these free courses! 🤗 #DataWithDanny  Python Courses:  Financial ML https://lnkd.in/geVnRUm  Linear Regression https://lnkd.in/gPuB-jU  Bootcamp https://lnkd.in/gtJrSSs  ML & Deep Learning https://lnkd.in/g5_2ADt  Computer Vision https://lnkd.in/gVQGPCK  Decision Trees https://lnkd.in/g4viYPB  Flask https://lnkd.in/grJuBZG  SQL Masterclass https://lnkd.in/gM3jReb  Excel Marketing Analytics https://lnkd.in/gdchAhV  R HR Analytics https://lnkd.in/g4cFVkh  Retail Marketing Analytics https://lnkd.in/geFbz64  Analytics in R https://lnkd.in/gGWqG9R  Excel Beginner to Advanced https://lnkd.in/gS9Sq4Y
2020-10-01 22:54:00,https://lnkd.in/g5_2ADt, Hey #Data #Analytics community - here are 13 FREE Udemy courses worth $2000! 🤑 These all expire 1st October so be SUPER QUICK! ⚡️ Please help me share this post so more people can see these free courses! 🤗 #DataWithDanny  Python Courses:  Financial ML https://lnkd.in/geVnRUm  Linear Regression https://lnkd.in/gPuB-jU  Bootcamp https://lnkd.in/gtJrSSs  ML & Deep Learning https://lnkd.in/g5_2ADt  Computer Vision https://lnkd.in/gVQGPCK  Decision Trees https://lnkd.in/g4viYPB  Flask https://lnkd.in/grJuBZG  SQL Masterclass https://lnkd.in/gM3jReb  Excel Marketing Analytics https://lnkd.in/gdchAhV  R HR Analytics https://lnkd.in/g4cFVkh  Retail Marketing Analytics https://lnkd.in/geFbz64  Analytics in R https://lnkd.in/gGWqG9R  Excel Beginner to Advanced https://lnkd.in/gS9Sq4Y
