datetime,url,message
2021-11-03 08:50:00,https://github.com/draftdev/jobs/blob/main/contract-writer-data.md, Contract writer role is in the data engineering/science space https://github.com/draftdev/jobs/blob/main/contract-writer-data.md
2021-12-05 13:12:00,https://meetu.ps/e/KCntQ/RW0hf/i, Join me at Data Engineering SD - Data Lineage with Apache Airflow using OpenLineage https://meetu.ps/e/KCntQ/RW0hf/i
2021-12-05 13:12:00,https://meetu.ps/e/KCsY8/RW0hf/i, Join me at Data Engineer's Lunch #50: Airbyte for Data Engineering https://meetu.ps/e/KCsY8/RW0hf/i
